<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.03.03	8838.50	9000.75	8540.64	8559.12	640841	0	0
2020.03.04	8547.80	8949.85	8511.88	8889.48	534261	0	0
2020.03.05	8885.85	8899.10	8612.16	8674.98	363011	0	0
2020.03.06	8672.30	8726.60	8314.22	8505.60	658061	0	0
2020.03.09	8173.85	8243.98	7823.60	7920.48	587381	0	0
2020.03.10	8019.65	8382.89	7937.17	8361.80	549281	0	0
2020.03.11	8244.63	8264.38	7897.68	8009.58	498351	0	0
2020.03.12	8090.38	8094.03	7135.14	7161.74	989136	0	0
2020.03.13	7193.10	7980.48	6945.98	7830.98	1431111	0	0
2020.03.16	7561.72	7562.22	6925.58	7041.32	752881	0	0
2020.03.17	7090.82	7554.32	6950.45	7364.95	933611	0	0
2020.03.18	7300.58	7342.20	6826.95	7256.32	986241	0	0
2020.03.19	7338.08	7520.08	6891.32	7203.58	1123021	0	0
2020.03.20	7162.20	7648.70	6902.08	6923.95	1254991	0	0
2020.03.23	6780.32	7323.82	6632.32	6984.52	1178801	0	0
2020.03.24	7028.02	7581.40	7028.02	7564.65	570131	0	0
2020.03.25	7561.02	7775.90	7382.52	7493.78	719521	0	0
2020.03.26	7508.78	7912.28	7326.28	7883.90	796881	0	0
2020.03.27	7906.90	7911.02	7570.28	7584.65	359231	0	0
2020.03.30	7561.52	7901.02	7429.28	7870.52	634481	0	0
2020.03.31	7871.52	8014.78	7765.52	7797.02	424021	0	0
2020.04.01	7790.65	7790.65	7423.78	7482.15	425241	0	0
2020.04.02	7488.90	7673.65	7394.90	7640.02	406381	0	0
2020.04.03	7641.40	7677.15	7440.28	7533.78	366121	0	0
2020.04.06	7557.02	8109.65	7557.02	8046.90	615381	0	0
2020.04.07	8040.40	8314.02	7958.52	8010.40	681001	0	0
2020.04.08	8022.40	8252.65	7964.40	8211.90	387001	0	0
2020.04.09	8199.78	8337.15	8114.40	8251.78	393501	0	0
2020.04.13	8315.78	8351.28	8083.40	8351.28	500261	0	0
2020.04.14	8352.15	8715.65	8332.40	8715.65	403001	0	0
2020.04.15	8713.52	8716.40	8498.90	8588.15	309631	0	0
2020.04.16	8587.78	8854.15	8512.78	8850.02	420501	0	0
2020.04.17	8943.65	8978.52	8702.15	8821.40	430491	0	0
2020.04.20	8808.02	8857.90	8699.15	8726.02	235501	0	0
2020.04.21	8714.65	8774.65	8356.02	8449.02	571631	0	0
2020.04.22	8463.90	8710.90	8413.65	8645.02	413381	0	0
2020.04.23	8647.28	8797.90	8593.52	8611.78	373261	0	0
2020.04.24	8591.15	8792.40	8509.28	8781.02	376371	0	0
2020.04.27	8825.90	8909.52	8742.40	8829.28	330861	0	0
2020.04.28	8830.90	8957.52	8666.15	8710.40	462241	0	0
2020.04.29	8780.52	9129.40	8745.28	9129.02	419741	0	0
